team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHILADELPHIA 76ERS,240,42,91,4,8,14,23,18,28,27,8,5,14,25
CHARLOTTE HORNETS,240,38,75,3,13,17,27,10,31,25,8,11,17,21
ORLANDO MAGIC,265,31,83,2,7,24,35,10,29,23,17,5,12,22
CHICAGO BULLS,265,34,85,5,18,13,20,18,46,28,7,8,23,30
HOUSTON ROCKETS,240,35,76,3,13,12,23,8,31,29,10,6,20,18
CLEVELAND CAVALIERS,240,39,83,4,5,16,19,12,32,29,9,4,17,22
WASHINGTON WIZARDS,240,41,89,6,14,17,22,14,32,24,9,6,12,22
LOS ANGELES CLIPPERS,240,32,79,7,20,22,30,14,32,16,8,8,15,22
LOS ANGELES LAKERS,240,38,75,4,9,20,23,7,30,19,5,7,14,22
MIAMI HEAT,240,34,81,2,15,19,24,7,25,19,7,2,8,24
BOSTON CELTICS,240,36,93,4,14,30,34,21,33,13,8,2,12,26
PHOENIX SUNS,240,37,82,4,16,32,36,11,31,27,7,8,15,25
